""	"chr10p"	"chr10q"	"chr11p"	"chr11q"	"chr12p"	"chr12q"	"chr13q"	"chr14q"	"chr15q"	"chr16p"	"chr16q"	"chr17p"	"chr17q"	"chr18p"	"chr18q"	"chr19p"	"chr19q"	"chr1p"	"chr1q"	"chr20p"	"chr20q"	"chr21q"	"chr22q"	"chr2p"	"chr2q"	"chr3p"	"chr3q"	"chr4p"	"chr4q"	"chr5p"	"chr5q"	"chr6p"	"chr6q"	"chr7p"	"chr7q"	"chr8p"	"chr8q"	"chr9p"	"chr9q"
"SKBR3_BREAST"	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	-1	-1	0	0	1	1	1	0	0	0	-1	-1	0	-1	0	0	-1	0	0	1	1	-1	0	-1	0
"OVISE_OVARY"	-1	0	0	-1	0	0	0	0	-1	0	0	-1	1	1	-1	0	1	0	0	0	0	1	0	0	0	-1	1	-1	-1	-1	0	0	0	1	-1	-1	1	0	0
"OVMANA_OVARY"	0	0	0	0	1	1	0	0	0	0	0	-1	1	0	-1	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0
"U2OS_BONE"	0	0	0	0	0	0	-1	0	0	0	0	-1	0	1	-1	-1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
"NCIN87_STOMACH"	0	0	-1	0	0	0	0	0	0	0	0	-1	0	0	-1	0	1	0	0	0	0	-1	0	0	0	-1	0	-1	0	0	0	-1	0	0	0	-1	1	0	0
"HCC1395_BREAST"	-1	0	-1	-1	0	-1	-1	0	0	0	0	0	-1	-1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	-1	0	0	0
"HCC1806_BREAST"	0	1	1	1	1	0	0	0	0	0	0	1	0	0	-1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0
"NCIH1650_LUNG"	-1	0	0	0	0	0	-1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	-1	0	1	0	-1	0	0	0
"NIHOVCAR3_OVARY"	-1	0	0	-1	0	0	-1	0	0	-1	-1	0	0	1	-1	-1	0	0	0	1	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
"HCC1143_BREAST"	1	0	0	-1	0	0	-1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	-1	1	0	0	0	0	-1	-1	1	0	0
"NCIH1793_LUNG"	0	0	0	0	-1	0	0	1	0	-1	1	0	0	-1	-1	0	1	0	0	-1	1	0	0	1	1	1	1	0	0	1	1	-1	-1	1	0	0	0	0	1
"DU4475_BREAST"	1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	0	1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
"H4_CENTRAL_NERVOUS_SYSTEM"	-1	0	1	0	0	0	-1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	-1	1	1	0	1	0	0	-1	1	1	0	0	0	0
"HPAFII_PANCREAS"	-1	0	0	0	-1	1	-1	1	-1	0	0	-1	-1	-1	-1	-1	-1	0	0	1	1	0	-1	0	0	0	0	-1	0	0	0	-1	-1	1	0	0	0	-1	-1
"HGC27_STOMACH"	1	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	1	-1	0	1	0	0	0	0	0	0	0	-1	-1	0	1	0	0	-1	1	0	0	0	1	1
"EB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	-1	-1	1	0
"SKNAS_AUTONOMIC_GANGLIA"	0	0	0	-1	0	0	0	0	0	0	0	-1	1	0	0	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	1	0	0	0	0	0
"JHUEM1_ENDOMETRIUM"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HUG1N_STOMACH"	-1	1	0	0	0	0	-1	-1	-1	0	-1	-1	-1	1	0	-1	-1	0	0	1	1	-1	-1	0	0	-1	1	-1	-1	0	-1	1	0	1	1	0	1	0	-1
"DAUDI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"TE9_OESOPHAGUS"	-1	0	0	-1	0	0	0	1	1	0	0	0	0	1	-1	0	0	0	0	0	1	-1	0	0	0	-1	1	-1	0	0	0	0	0	1	0	-1	0	-1	1
"KMS26_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KE39_STOMACH"	-1	-1	0	1	0	0	0	0	0	0	-1	0	0	-1	-1	-1	0	0	0	1	1	-1	0	0	1	0	0	0	-1	0	-1	0	-1	0	1	0	1	0	0
"JHOS4_OVARY"	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	1	0	1	0	1	1	1	0	-1	0	0	0	1	-1	0	0	0	0	0	0	0	0	1	0	-1
"GCIY_STOMACH"	0	0	1	-1	0	0	-1	-1	-1	1	0	-1	0	0	0	-1	1	0	0	0	0	0	-1	0	-1	-1	0	-1	-1	1	0	0	0	1	0	0	0	-1	0
"CAS1_CENTRAL_NERVOUS_SYSTEM"	-1	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	-1	-1	0	0	0	0	1	1	0	0	0	0
"KYSE270_OESOPHAGUS"	-1	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	0	-1	1	0	0	1	0	-1	0	-1	-1	1	-1	-1	1	0	0	0	1	-1	0	1	-1	0
"KNS42_CENTRAL_NERVOUS_SYSTEM"	-1	0	-1	1	0	0	0	-1	1	0	0	1	1	0	0	1	0	0	1	0	0	-1	0	1	1	0	0	-1	-1	1	-1	0	1	1	0	-1	-1	0	1
"SH10TC_STOMACH"	1	0	1	0	1	0	0	0	1	0	-1	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	-1	-1	1	0	0	0	0	0	-1	1	0	0
"COV504_OVARY"	0	0	0	0	0	0	1	-1	0	1	1	-1	0	0	0	-1	-1	0	0	0	0	-1	-1	0	0	-1	0	0	-1	0	1	0	0	0	0	-1	0	0	0
"KYSE520_OESOPHAGUS"	0	0	-1	0	0	0	0	0	0	-1	0	0	0	1	-1	0	0	0	0	1	1	-1	0	0	0	-1	0	-1	-1	1	0	-1	-1	1	0	-1	0	-1	1
"COV318_OVARY"	0	0	-1	0	0	0	0	1	-1	0	-1	-1	0	0	0	0	0	1	1	1	1	0	-1	0	0	-1	0	-1	0	0	0	0	0	1	1	0	-1	0	0
"T3M4_PANCREAS"	-1	-1	0	1	1	0	0	0	0	0	0	-1	0	-1	-1	-1	0	0	0	-1	1	-1	0	-1	-1	-1	0	-1	0	1	0	0	-1	1	-1	0	0	-1	0
"PK1_PANCREAS"	1	1	0	0	1	0	0	0	1	0	1	0	1	1	-1	-1	0	0	0	1	1	-1	0	0	0	-1	1	0	0	1	1	-1	-1	0	0	-1	1	-1	1
"JHOS2_OVARY"	-1	0	0	0	1	0	0	0	0	0	0	-1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	-1	0	-1	0
"KMS21BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	0	-1	0	0	0	0	-1	-1	0	-1	-1	0	0	1	1	0	0	0	1	0	0	0	-1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	-1
"MKN7_STOMACH"	-1	-1	1	0	-1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	-1	0	1	0	1	0	1	-1	-1	0	-1	0
"CMK115_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"KP3_PANCREAS"	-1	0	0	1	1	0	0	-1	0	1	1	0	0	-1	-1	-1	-1	0	0	-1	0	0	-1	1	0	0	1	1	-1	0	-1	-1	-1	1	-1	-1	0	-1	-1
"HEC265_ENDOMETRIUM"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	-1	-1	0	0	0	0	0	0	0	0	1	-1	1	0	0
"HCC70_BREAST"	1	-1	-1	0	0	-1	0	0	0	1	1	-1	-1	0	0	0	0	1	1	0	0	0	0	0	0	-1	1	-1	-1	1	0	0	-1	1	1	-1	0	1	0
"SKES1_BONE"	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1
"HEC151_ENDOMETRIUM"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0
"HEC108_ENDOMETRIUM"	0	0	0	0	0	0	0	0	-1	0	1	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	-1	-1	0	1	0	0	0	0	0	0	0	0	0
"NCIH508_LARGE_INTESTINE"	0	0	0	0	0	0	1	-1	0	0	0	-1	1	0	0	0	0	-1	0	1	1	0	0	0	0	0	1	-1	-1	0	0	0	0	1	1	0	0	0	0
"HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	0	-1	-1	0	0	0	0	-1	0	-1	-1	-1	0	-1	0	0	0	1	0	-1	-1	1	-1	0	0	0	0	0	-1	0	-1	0	0	-1	-1	0	1	0	-1
"A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	-1	-1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0
"KPNSI9S_AUTONOMIC_GANGLIA"	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	-1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	1	1	1	0	0
"HCC38_BREAST"	1	0	-1	0	-1	0	0	0	0	0	0	0	1	0	0	0	0	-1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	-1	1	0	1	0	0
"KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	0	0	0	0	0	0	1	0	0	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
"ZR751_BREAST"	0	0	0	0	1	0	0	0	0	1	0	-1	0	1	1	-1	0	-1	1	-1	1	-1	0	0	0	0	0	0	0	0	0	-1	-1	1	0	0	1	0	0
"A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	-1	-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
"KNS60_CENTRAL_NERVOUS_SYSTEM"	0	1	0	0	0	0	0	1	0	-1	1	0	0	-1	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	-1	1	1	1	0	1	0	-1	0	0	0
"A204_SOFT_TISSUE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0
"PATU8902_PANCREAS"	-1	0	0	1	1	0	0	-1	0	0	0	-1	0	0	-1	0	-1	-1	0	0	0	-1	0	0	0	0	0	1	-1	1	0	0	0	0	0	0	1	0	0
"QGP1_PANCREAS"	0	0	0	0	0	0	-1	-1	0	0	0	1	0	1	1	0	0	1	0	1	0	0	-1	1	0	0	0	0	0	1	1	0	-1	1	1	-1	0	0	0
"YAPC_PANCREAS"	-1	1	0	1	0	0	0	1	0	0	0	-1	1	1	-1	0	0	-1	0	-1	1	0	-1	0	0	-1	0	0	0	0	1	0	0	1	0	-1	1	-1	0
"KLE_ENDOMETRIUM"	0	-1	0	-1	0	0	-1	1	-1	0	0	-1	-1	0	0	-1	0	0	0	1	1	1	-1	0	0	-1	0	0	0	0	0	0	0	1	0	0	-1	-1	-1
"EN_ENDOMETRIUM"	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0
"HEC1A_ENDOMETRIUM"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	-1	0
"NCIH211_LUNG"	-1	-1	0	0	0	0	-1	0	-1	0	0	-1	0	0	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	-1	0	-1	0	0	0	0	0	0	-1	0
"SKMEL3_SKIN"	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	-1	0
"PSN1_PANCREAS"	-1	0	0	0	0	0	-1	0	0	0	0	-1	0	0	-1	0	0	1	1	1	1	0	-1	1	0	0	0	0	-1	0	0	-1	-1	-1	-1	-1	0	-1	1
"COLO741_SKIN"	0	0	0	0	0	0	1	-1	1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-1	1	0	1	1	0	0	-1	0
"ACHN_KIDNEY"	0	1	0	0	1	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0
"NCIH650_LUNG"	0	0	0	1	1	0	-1	0	0	-1	0	0	0	0	-1	0	0	0	0	1	0	-1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"NCIH441_LUNG"	-1	0	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0	0	-1	0	0	0	0	0	-1	0	0	0	1	0	0	-1	0	1	-1	1	-1	0
"KYSE510_OESOPHAGUS"	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	0	1	0	1	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0
"KELLY_AUTONOMIC_GANGLIA"	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	-1
"LNCAPCLONEFGC_PROSTATE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LS411N_LARGE_INTESTINE"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"TE1_OESOPHAGUS"	0	0	0	0	0	0	1	0	0	0	0	0	0	1	-1	0	0	0	0	0	1	0	0	0	0	0	0	-1	0	1	0	0	0	1	0	0	0	0	0
"KYSE150_OESOPHAGUS"	0	0	0	1	1	0	0	0	0	0	1	1	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	-1	-1	0	0	0	0	1	0	-1	0	-1	1
"PATU8988T_PANCREAS"	0	0	1	1	-1	0	0	0	-1	-1	1	-1	-1	1	0	0	0	-1	0	1	1	-1	-1	0	0	1	0	0	-1	1	0	1	0	0	0	-1	1	0	0
"KYSE450_OESOPHAGUS"	0	0	1	1	1	0	0	0	0	0	1	0	0	1	-1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	1	1
"HCC78_LUNG"	0	0	0	1	0	0	-1	0	0	1	0	0	1	-1	0	0	0	0	1	0	0	-1	-1	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1
"KYSE70_OESOPHAGUS"	0	0	1	0	0	0	0	0	0	-1	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-1	0	1	0	0	0	0	0
"VMRCLCD_LUNG"	0	0	0	0	1	1	-1	0	0	0	0	0	1	-1	-1	0	0	0	1	0	0	0	0	1	1	-1	1	0	0	1	0	0	0	1	1	0	1	0	0
"MOGGCCM_CENTRAL_NERVOUS_SYSTEM"	-1	-1	-1	-1	0	0	0	-1	0	0	0	-1	-1	-1	0	0	1	1	0	1	1	1	-1	0	-1	0	0	-1	-1	1	1	0	1	1	1	0	0	1	1
"GAMG_CENTRAL_NERVOUS_SYSTEM"	-1	-1	0	0	0	0	-1	-1	0	-1	-1	-1	0	0	-1	0	0	0	-1	1	1	0	-1	0	0	0	0	1	-1	1	1	0	0	1	1	0	0	-1	0
"COLO818_SKIN"	-1	-1	0	0	0	0	0	-1	1	-1	-1	0	0	0	0	-1	0	0	0	0	1	0	1	0	0	0	0	-1	-1	1	-1	0	0	1	1	0	0	-1	-1
"LC1SQSF_LUNG"	0	0	0	-1	0	0	0	0	0	0	0	0	1	1	-1	0	0	0	1	0	1	0	0	0	1	-1	0	-1	-1	0	0	0	-1	0	0	-1	1	0	1
"KYSE410_OESOPHAGUS"	0	-1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	1	0	0	0	-1	0
"GOS3_CENTRAL_NERVOUS_SYSTEM"	-1	-1	0	0	0	0	0	-1	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	-1	1	1	0	0	0	0
"EFE184_ENDOMETRIUM"	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0
"RERFLCMS_LUNG"	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
"MOGGUVW_CENTRAL_NERVOUS_SYSTEM"	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
"KYSE30_OESOPHAGUS"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	0	0	0	0	1	0	0	0	0	0	-1	0	0	0	0	0	0	0	1	0	0	1	-1	1
"HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"42MGBA_CENTRAL_NERVOUS_SYSTEM"	0	0	0	1	0	0	-1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"1321N1_CENTRAL_NERVOUS_SYSTEM"	0	0	0	0	0	0	-1	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GMS10_CENTRAL_NERVOUS_SYSTEM"	-1	-1	0	0	-1	-1	-1	1	1	0	0	0	0	-1	0	0	0	0	0	1	1	0	-1	0	0	0	0	0	0	0	0	1	0	0	-1	1	1	-1	0
"8MGBA_CENTRAL_NERVOUS_SYSTEM"	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	0
"GI1_CENTRAL_NERVOUS_SYSTEM"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	-1	-1	1	0	0	0	0	0	1	1	0	0
"HCC44_LUNG"	0	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-1	0	1	-1	-1	1	0	0	0	1	1	-1	0	0	0
"KYSE140_OESOPHAGUS"	1	0	-1	0	1	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	-1	-1	-1	0	0	0	0	0	-1	-1	1	0	0	0	1	0	0	0	0	0
"KYSE180_OESOPHAGUS"	-1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	1	-1	0	1	0	0	0	1	0	0	0	0	0
"SNB19_CENTRAL_NERVOUS_SYSTEM"	-1	0	0	0	-1	-1	-1	-1	0	-1	0	0	0	0	-1	0	1	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	1	1	-1	-1	0	0
"YKG1_CENTRAL_NERVOUS_SYSTEM"	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	-1	0	0	0	0	-1	-1	0	0	0	0	1	1	0	0	0	0
"NCIH2196_LUNG"	-1	-1	0	0	0	0	-1	0	-1	0	-1	-1	0	1	0	0	0	0	0	0	0	0	-1	0	0	-1	1	0	-1	0	0	0	0	0	0	0	0	0	0
"HUPT3_PANCREAS"	-1	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	0	0	-1	0	0	0	-1	-1	0	0	-1	0	0	0
"DETROIT562_UPPER_AERODIGESTIVE_TRACT"	-1	-1	0	0	0	0	0	1	0	0	0	1	0	-1	-1	0	-1	-1	0	-1	1	-1	0	0	0	-1	1	0	0	1	0	0	-1	0	0	-1	0	-1	0
"TE5_OESOPHAGUS"	0	0	-1	0	1	0	0	0	0	1	1	-1	0	0	-1	0	-1	-1	0	0	1	-1	0	0	0	-1	1	-1	-1	1	0	0	0	1	0	0	0	0	0
"A375_SKIN"	-1	0	0	0	0	0	0	-1	0	0	0	0	0	-1	-1	0	0	0	1	0	1	-1	-1	0	-1	0	0	0	-1	0	0	-1	-1	0	0	-1	0	0	0
"NCIH526_LUNG"	-1	-1	1	1	0	0	1	0	0	0	-1	-1	0	-1	0	-1	0	0	0	1	1	0	-1	0	0	0	0	0	0	0	-1	0	0	0	1	-1	1	0	-1
"CALU6_LUNG"	0	0	0	0	1	0	0	0	0	0	0	1	-1	0	-1	0	0	-1	0	-1	1	-1	-1	0	0	0	0	-1	-1	0	0	0	-1	1	0	-1	1	-1	0
"U251MG_CENTRAL_NERVOUS_SYSTEM"	-1	0	0	0	-1	-1	-1	-1	1	-1	0	1	1	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	0	0	0	1	1	0	0	0	0
"EPLC272H_LUNG"	-1	1	0	0	0	0	0	0	0	-1	0	0	0	1	-1	0	-1	0	0	0	0	0	1	-1	0	-1	0	-1	0	1	0	1	-1	0	0	0	1	0	0
"SKMES1_LUNG"	-1	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	-1	0	0	1	0	0	0	-1	0	0	0	0	1	0	1	0	-1	0	1	0	0	0	0	0
"LOXIMVI_SKIN"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0
"NCIH596_LUNG"	-1	-1	0	0	-1	-1	-1	1	1	1	0	0	0	0	0	0	0	0	1	-1	1	0	0	0	0	-1	1	0	0	1	0	1	-1	1	-1	-1	1	0	0
"L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	0	-1	-1	0	1	-1	-1	0	0	0	0	-1	0	0	0	0	0	0	1	1	1	0	-1	1	0	0	0	-1	0	0	0	0	0	1	0	-1	0	1	0
"IPC298_SKIN"	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	-1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	0	-1	-1	0	0	0	-1	-1	0	1	1	-1	0	1	1	0	-1	0	1	0	0	1	0	0	0	0	0	-1	-1	0	0	0	-1	1	1	-1	0	0	0
"MIAPACA2_PANCREAS"	0	0	0	0	1	-1	0	0	-1	-1	0	0	0	0	0	0	0	0	1	0	0	0	-1	0	0	-1	0	-1	-1	1	1	0	0	0	0	0	0	-1	0
"HS695T_SKIN"	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0
"COLO704_OVARY"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0
"SKMEL28_SKIN"	-1	-1	0	-1	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	-1	0	0	0	0	0	0	0	0	0	0	0
"K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	0	0	0	0	-1	0	-1	-1	0	0	0	-1	0	1	0	0	0	0	1	-1	0	1	-1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	-1	0
"LK2_LUNG"	-1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	-1	-1	1	0	-1	0	0	0	0	1	0	0
"NCIH2122_LUNG"	0	0	0	0	0	0	0	0	1	-1	0	0	0	0	0	-1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
"NAMALWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
"KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	-1	0	0	1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	1	0	0	0	0
"G361_SKIN"	-1	-1	0	-1	0	0	-1	-1	1	0	0	-1	1	1	1	0	0	0	0	1	1	0	0	0	0	1	1	-1	0	1	-1	0	-1	1	1	0	1	-1	1
"MCAS_OVARY"	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-1	0	0	0
"FUOV1_OVARY"	-1	0	0	1	1	0	0	0	0	0	0	0	0	1	-1	-1	0	0	0	0	1	-1	-1	0	-1	0	1	-1	0	1	0	0	0	-1	0	-1	0	1	-1
"CPCN_LUNG"	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	-1	1	0	0	0	0	1	0	0	0	0	0	0	0
"NCIH2171_LUNG"	-1	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	-1	1	-1	-1	1	-1	0	0	0	0	-1	0	-1	0
